company,fiscal_year,category,metric,value_numeric,value_text,unit,source,notes,comparable,reason,confidence
Amazon,2025,Company Info,Reporting Period,,"Jan 1 - Dec 31, 2025",text,,,,High,
Amazon,2025,Company Info,Revenue,717000,,$M,Amazon 2025 Annual Report,Up 12% YoY from $638B,Yes,,High
Amazon,2025,Company Info,Employees,1576000,,count,Amazon 2025 Annual Report (10-K),As of Dec 31 2025,Yes,,High
Amazon,2025,Carbon,Scope 1,15.37,,MMT CO2e,Page 46,Market-based,Yes,GHGP-aligned,High
Amazon,2025,Carbon,Scope 2 (market-based),3.74,,MMT CO2e,Page 46,EAC-adjusted,Yes,Standardized market-basis,High
Amazon,2025,Carbon,Scope 2 (location-based),,,MMT CO2e,,Not disclosed,No,Amazon does not report location-based Scope 2,Missing
Amazon,2025,Carbon,Scope 3,61.74,,MMT CO2e,Page 46,8 sub-categories,Yes,GHGP-aligned,High
Amazon,2025,Carbon,Total Emissions (GHGP-aligned),80.85,,MMT CO2e,Page 46,Amazon's Carbon Footprint total,Yes,Standard basis,High
Amazon,2025,Carbon,Carbon Intensity,112.8,,g/$,Page 46,Methodology changed from gCO2e/$GMS in 2025,Yes,Directly reported,High
Amazon,2025,Energy,Total Energy Consumption,,,MWh,,Not disclosed company-wide,No,Known Amazon disclosure gap,Missing
Amazon,2025,Energy,Renewable Electricity Match,100,,%,Page 5,"Annual matching, 5 yrs ahead of target",Yes,Annual-matching basis,High
Amazon,2025,Energy,Renewable Project Capacity,41670,,MW,Page 46,"712 projects, 30+ countries",No,"Capacity metric, not consumption-based",High
Amazon,2025,Energy,PUE,1.14,,ratio,Narrative,Global average,Yes,Directly comparable,High
Amazon,2025,Water,Water Withdrawal,,,million m3,,Not disclosed,No,Not disclosed,Missing
Amazon,2025,Water,Water Consumption,,,million m3,,Not disclosed,No,Not disclosed,Missing
Amazon,2025,Water,Water Positive Progress (AWS global),75,,%,Page 5,Toward 2030 goal,No,AWS-only scope,Medium
Amazon,2025,Water,Water Positive Progress (India),120,,%,Page 5,"Achieved, country-specific",No,Country-specific sub-target,High
